Token	POS-Tag	OOV	Id	Index	Granularidade	Documento
chato	ADJ	1	1	10	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
na	ADP	0	1	11	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
compra	NOUN	0	1	12	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
de	ADP	0	1	13	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
cuecas	NOUN	1	1	14	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
,	PUNCT	0	1	15	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
comprei	VERB	1	1	16	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
essa	DET	0	1	17	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
Marca	PROPN	1	1	18	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
e	CCONJ	0	1	19	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
me	PRON	0	1	20	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
impressionei	VERB	1	1	21	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
com	ADP	0	1	22	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
a	DET	0	1	23	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
qualidade	NOUN	0	1	24	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
do	ADP	0	1	25	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
tecido	NOUN	0	1	26	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
.	PUNCT	0	1	27	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
A	DET	0	1	28	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
entrega	NOUN	0	1	29	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
foi	AUX	0	1	30	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
exatamente	ADV	0	1	31	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
como	SCONJ	0	1	32	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
o	DET	0	1	33	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
prometido	NOUN	1	1	34	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
,	PUNCT	0	1	35	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
dentro	ADV	0	1	36	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
do	ADP	0	1	37	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
prazo	NOUN	0	1	38	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
.	PUNCT	0	1	39	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
Parabéns	NOUN	1	1	40	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
ao	ADP	0	1	41	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
Lojista	PROPN	1	1	42	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
.	PUNCT	0	1	43	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
Breve	NOUN	1	1	44	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
retornarei	VERB	1	1	45	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
realizar	VERB	0	1	46	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
pedidos	NOUN	0	1	47	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
desse	ADP	0	1	48	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
produto	NOUN	0	1	49	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
.	PUNCT	0	1	50	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
0	['INTJ', 'NOUN', 'ADJ', 'PUNCT', 'PROPN', 'ADV', 'ADJ', 'PUNCT', 'AUX', 'ADV', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'DET', 'PROPN', 'CCONJ', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'AUX', 'ADV', 'SCONJ', 'DET', 'NOUN', 'PUNCT', 'ADV', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'NOUN', 'VERB', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]	1	0	1	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
Muito	ADV	0	2	0	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
bom	ADJ	0	2	1	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
,	PUNCT	0	2	2	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
simples	ADJ	0	2	3	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
mas	CCONJ	0	2	4	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
da	ADP	0	2	5	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
conta	NOUN	0	2	6	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
do	ADP	0	2	7	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
recado	NOUN	1	2	8	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
gela	VERB	1	2	9	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
bem	ADV	0	2	10	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
parece	VERB	0	2	11	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
ser	AUX	0	2	12	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
frágil	ADJ	0	2	13	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
mas	CCONJ	0	2	14	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
depois	ADV	0	2	15	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
que	SCONJ	0	2	16	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
coloca	VERB	0	2	17	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
em	ADP	0	2	18	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
funcionamento	NOUN	0	2	19	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
fa	ADJ	0	2	20	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
para	SCONJ	0	2	21	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
ver	VERB	0	2	22	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
que	SCONJ	0	2	23	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
foi	AUX	0	2	24	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
uma	DET	0	2	25	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
otima	ADJ	1	2	26	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
compra	NOUN	0	2	27	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
.	PUNCT	0	2	28	0	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
1	['ADV', 'ADJ', 'PUNCT', 'ADJ', 'CCONJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADV', 'VERB', 'AUX', 'ADJ', 'CCONJ', 'ADV', 'SCONJ', 'VERB', 'ADP', 'NOUN', 'ADJ', 'SCONJ', 'VERB', 'SCONJ', 'AUX', 'DET', 'ADJ', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]	2	1	1	Muito bom , simples mas da conta do recado gela bem parece ser frágil mas depois que coloca em funcionamento fa para ver que foi uma otima compra .
Adquiri	VERB	1	3	0	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
o	DET	0	3	1	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
produto	NOUN	0	3	2	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
pelos	ADP	0	3	3	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
diferentes	DET	0	3	4	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
níveis	NOUN	0	3	5	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
e	CCONJ	0	3	6	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
tipos	NOUN	0	3	7	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
de	ADP	0	3	8	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
lavagem	NOUN	0	3	9	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
disponíveis	ADJ	0	3	10	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
.	PUNCT	0	3	11	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
Todos	PRON	0	3	12	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
funcionam	VERB	0	3	13	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
perfeitamente	ADV	0	3	14	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
,	PUNCT	0	3	15	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
inclusive	ADV	0	3	16	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
para	SCONJ	0	3	17	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
lavar	VERB	1	3	18	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
roupas	NOUN	0	3	19	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
delicadas	VERB	1	3	20	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
de	ADP	0	3	21	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
bebê	NOUN	0	3	22	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
.	PUNCT	0	3	23	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
Optei	VERB	1	3	24	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
pela	ADP	0	3	25	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
marca	NOUN	0	3	26	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
Brastemp	PROPN	1	3	27	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
pois	SCONJ	0	3	28	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
já	ADV	0	3	29	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
possuía	VERB	0	3	30	0	Adquiri o produto pelos diferentes níveis e tipos de lavagem disponíveis . Todos funcionam perfeitamente , inclusive para lavar roupas delicadas de bebê . Optei pela marca Brastemp pois já possuía uma outra máquina dessa marca há mais de 10 anos e nunca apresentou problemas .
