Sentença	Id	Index	Granularidade	Documento
A unica coisa que nao nos agradou muito foi o fundo da altura mais alta, achamos muito duro para deixar um bebe dormindo, precisa ser forrado com algo ou um colchonete (apesar da marca não recomendar).	12	2	0	O produto é de ótima qualidade , tamanho bom , portátil e leve . Foi o unico modelo que coube no meu quarto de casal , que é pequeno porque moro em apartamento . A unica coisa que nao nos agradou muito foi o fundo da altura mais alta , achamos muito duro para deixar um bebe dormindo , precisa ser forrado com algo ou um colchonete ( apesar da marca não recomendar ) .
11	12	-1	1	O produto é de ótima qualidade , tamanho bom , portátil e leve . Foi o unico modelo que coube no meu quarto de casal , que é pequeno porque moro em apartamento . A unica coisa que nao nos agradou muito foi o fundo da altura mais alta , achamos muito duro para deixar um bebe dormindo , precisa ser forrado com algo ou um colchonete ( apesar da marca não recomendar ) .
Nossa o oculos é lindo demais, amei e a qualidade é bem acima do que esperava.	13	0	0	Nossa o oculos é lindo demais , amei e a qualidade é bem acima do que esperava . Só não gostei da logistica das Americanas a primeira entrega demorou demais ja a segunda foi rapida .
Só não gostei da logistica das Americanas a primeira entrega demorou demais ja a segunda foi rapida.	13	1	0	Nossa o oculos é lindo demais , amei e a qualidade é bem acima do que esperava . Só não gostei da logistica das Americanas a primeira entrega demorou demais ja a segunda foi rapida .
12	13	-1	1	Nossa o oculos é lindo demais , amei e a qualidade é bem acima do que esperava . Só não gostei da logistica das Americanas a primeira entrega demorou demais ja a segunda foi rapida .
Em menos de uma semana de uso o analógico esquerdo já começou a demonstrar problema nos comandos (isso porque ele não caiu e/ou sofreu qualquer tipo de batida).	14	0	0	Em menos de uma semana de uso o analógico esquerdo já começou a demonstrar problema nos comandos ( isso porque ele não caiu e/ou sofreu qualquer tipo de batida ) . Eu comprei achando que era um controle original , mas é uma cópia ( mal feita inclusive ) de um . Sinceramente , vou ter que acabar comprando outro ( de outro vendedor , é claro ) , pois a qualidade desse não é boa .
Eu comprei achando que era um controle original, mas é uma cópia (mal feita inclusive) de um.	14	1	0	Em menos de uma semana de uso o analógico esquerdo já começou a demonstrar problema nos comandos ( isso porque ele não caiu e/ou sofreu qualquer tipo de batida ) . Eu comprei achando que era um controle original , mas é uma cópia ( mal feita inclusive ) de um . Sinceramente , vou ter que acabar comprando outro ( de outro vendedor , é claro ) , pois a qualidade desse não é boa .
Sinceramente, vou ter que acabar comprando outro (de outro vendedor, é claro), pois a qualidade desse não é boa.	14	2	0	Em menos de uma semana de uso o analógico esquerdo já começou a demonstrar problema nos comandos ( isso porque ele não caiu e/ou sofreu qualquer tipo de batida ) . Eu comprei achando que era um controle original , mas é uma cópia ( mal feita inclusive ) de um . Sinceramente , vou ter que acabar comprando outro ( de outro vendedor , é claro ) , pois a qualidade desse não é boa .
13	14	-1	1	Em menos de uma semana de uso o analógico esquerdo já começou a demonstrar problema nos comandos ( isso porque ele não caiu e/ou sofreu qualquer tipo de batida ) . Eu comprei achando que era um controle original , mas é uma cópia ( mal feita inclusive ) de um . Sinceramente , vou ter que acabar comprando outro ( de outro vendedor , é claro ) , pois a qualidade desse não é boa .
O PRODUTO É DE BOA QUALIDADE, ATENDE	15	0	0	O PRODUTO É DE BOA QUALIDADE , ATENDE AS EXPECTATIVAS , NÃO É TÃO FORTE , MAS SUPRE AS NECESSIDADES .
AS EXPECTATIVAS, NÃO É TÃO FORTE, MAS SUPRE AS NECESSIDADES.	15	1	0	O PRODUTO É DE BOA QUALIDADE , ATENDE AS EXPECTATIVAS , NÃO É TÃO FORTE , MAS SUPRE AS NECESSIDADES .
14	15	-1	1	O PRODUTO É DE BOA QUALIDADE , ATENDE AS EXPECTATIVAS , NÃO É TÃO FORTE , MAS SUPRE AS NECESSIDADES .
Para um smartphone de entrada é um bom preço compatível com o uso normal peca em poucos aspectos como não trazer um botão separado para câmera e não acender os botões funcionais já que o modelo pro faz isso o auto falante poderia ser melhor e logalizado em um outro lugar pois jogos que exigem virar o celular pra jogar o dedo fica bem em cima da saída do áudio o teclado virtual não tem opção de retirar a linha numerica de fábrica sendo assim tem baixar outro teclado caso queira retirar esse quesito	16	0	0	Para um smartphone de entrada é um bom preço compatível com o uso normal peca em poucos aspectos como não trazer um botão separado para câmera e não acender os botões funcionais já que o modelo pro faz isso o auto falante poderia ser melhor e logalizado em um outro lugar pois jogos que exigem virar o celular pra jogar o dedo fica bem em cima da saída do áudio o teclado virtual não tem opção de retirar a linha numerica de fábrica sendo assim tem baixar outro teclado caso queira retirar esse quesito
15	16	-1	1	Para um smartphone de entrada é um bom preço compatível com o uso normal peca em poucos aspectos como não trazer um botão separado para câmera e não acender os botões funcionais já que o modelo pro faz isso o auto falante poderia ser melhor e logalizado em um outro lugar pois jogos que exigem virar o celular pra jogar o dedo fica bem em cima da saída do áudio o teclado virtual não tem opção de retirar a linha numerica de fábrica sendo assim tem baixar outro teclado caso queira retirar esse quesito
Vi cabides em vários lugares, mas nenhum com este custo benefício.	17	0	0	Vi cabides em vários lugares , mas nenhum com este custo benefício . O produto é de boa qualidade e estava com um preço excelente . Super recomendo !
O produto é de boa qualidade e estava com um preço excelente.	17	1	0	Vi cabides em vários lugares , mas nenhum com este custo benefício . O produto é de boa qualidade e estava com um preço excelente . Super recomendo !
Super recomendo!	17	2	0	Vi cabides em vários lugares , mas nenhum com este custo benefício . O produto é de boa qualidade e estava com um preço excelente . Super recomendo !
16	17	-1	1	Vi cabides em vários lugares , mas nenhum com este custo benefício . O produto é de boa qualidade e estava com um preço excelente . Super recomendo !
O produto é ótimo pois tenho amigos que possuem e conheço o aparelho porém o site da americanas tem o maior descaso com cliente que já vi comprei um parelho deste que está sendo avaliado e me deram prazo de entrega de até 9 dias porém após confirmarem o pa game tô que digas de passagem demorou quase 2 dias para ocorrer aparece a entregalera em 16 dias úteis absurdo entro aqui para ver o aparelho e aparelho 6 dias de entrega o que ocorre com este site que não valorizam clientes sem contar que o atendimento deles simplesmente não existe não se consegue falar em nenhum telefone.	18	0	0	O produto é ótimo pois tenho amigos que possuem e conheço o aparelho porém o site da americanas tem o maior descaso com cliente que já vi comprei um parelho deste que está sendo avaliado e me deram prazo de entrega de até 9 dias porém após confirmarem o pa game tô que digas de passagem demorou quase 2 dias para ocorrer aparece a entregalera em 16 dias úteis absurdo entro aqui para ver o aparelho e aparelho 6 dias de entrega o que ocorre com este site que não valorizam clientes sem contar que o atendimento deles simplesmente não existe não se consegue falar em nenhum telefone . Aparelho ótimo site péssimo não recomendo
Aparelho ótimo site péssimo não recomendo	18	1	0	O produto é ótimo pois tenho amigos que possuem e conheço o aparelho porém o site da americanas tem o maior descaso com cliente que já vi comprei um parelho deste que está sendo avaliado e me deram prazo de entrega de até 9 dias porém após confirmarem o pa game tô que digas de passagem demorou quase 2 dias para ocorrer aparece a entregalera em 16 dias úteis absurdo entro aqui para ver o aparelho e aparelho 6 dias de entrega o que ocorre com este site que não valorizam clientes sem contar que o atendimento deles simplesmente não existe não se consegue falar em nenhum telefone . Aparelho ótimo site péssimo não recomendo
17	18	-1	1	O produto é ótimo pois tenho amigos que possuem e conheço o aparelho porém o site da americanas tem o maior descaso com cliente que já vi comprei um parelho deste que está sendo avaliado e me deram prazo de entrega de até 9 dias porém após confirmarem o pa game tô que digas de passagem demorou quase 2 dias para ocorrer aparece a entregalera em 16 dias úteis absurdo entro aqui para ver o aparelho e aparelho 6 dias de entrega o que ocorre com este site que não valorizam clientes sem contar que o atendimento deles simplesmente não existe não se consegue falar em nenhum telefone . Aparelho ótimo site péssimo não recomendo
Muito bom com um sinal excelente principalmente em relação ao custo benefício.	19	0	0	Muito bom com um sinal excelente principalmente em relação ao custo benefício . Trabalha como repetidor de forma perfeita .
Trabalha como repetidor de forma perfeita.	19	1	0	Muito bom com um sinal excelente principalmente em relação ao custo benefício . Trabalha como repetidor de forma perfeita .
18	19	-1	1	Muito bom com um sinal excelente principalmente em relação ao custo benefício . Trabalha como repetidor de forma perfeita .
Amei!	20	0	0	Amei ! Super fácil de usar . Entrega o resultado ! Fiz vinagrete e todos os ingredientes ficaram do mesmo tamanho . Delicados . Fatiei legumes e piquei frios para uma pizza . Tudo perfeito .
Super fácil de usar.	20	1	0	Amei ! Super fácil de usar . Entrega o resultado ! Fiz vinagrete e todos os ingredientes ficaram do mesmo tamanho . Delicados . Fatiei legumes e piquei frios para uma pizza . Tudo perfeito .
Entrega o resultado!	20	2	0	Amei ! Super fácil de usar . Entrega o resultado ! Fiz vinagrete e todos os ingredientes ficaram do mesmo tamanho . Delicados . Fatiei legumes e piquei frios para uma pizza . Tudo perfeito .
Fiz vinagrete e todos os ingredientes ficaram do mesmo tamanho.	20	3	0	Amei ! Super fácil de usar . Entrega o resultado ! Fiz vinagrete e todos os ingredientes ficaram do mesmo tamanho . Delicados . Fatiei legumes e piquei frios para uma pizza . Tudo perfeito .
Delicados.	20	4	0	Amei ! Super fácil de usar . Entrega o resultado ! Fiz vinagrete e todos os ingredientes ficaram do mesmo tamanho . Delicados . Fatiei legumes e piquei frios para uma pizza . Tudo perfeito .
Fatiei legumes e piquei frios para uma pizza.	20	5	0	Amei ! Super fácil de usar . Entrega o resultado ! Fiz vinagrete e todos os ingredientes ficaram do mesmo tamanho . Delicados . Fatiei legumes e piquei frios para uma pizza . Tudo perfeito .
Tudo perfeito.	20	6	0	Amei ! Super fácil de usar . Entrega o resultado ! Fiz vinagrete e todos os ingredientes ficaram do mesmo tamanho . Delicados . Fatiei legumes e piquei frios para uma pizza . Tudo perfeito .
19	20	-1	1	Amei ! Super fácil de usar . Entrega o resultado ! Fiz vinagrete e todos os ingredientes ficaram do mesmo tamanho . Delicados . Fatiei legumes e piquei frios para uma pizza . Tudo perfeito .
Irei comprar, mas quero só ver se não virá com bastão de selfie.	21	0	0	"Irei comprar , mas quero só ver se não virá com bastão de selfie . Porque só estou comprando porque tem na descrição "" + bastão de selfie "" . E nas informações do produto só fala cabo USB , fone , carregador , capinha , mas não fala do bastão . Caso não venha incluso cancelarei a compra ! Obr"
"Porque só estou comprando porque tem na descrição ""+ bastão de selfie""."	21	1	0	"Irei comprar , mas quero só ver se não virá com bastão de selfie . Porque só estou comprando porque tem na descrição "" + bastão de selfie "" . E nas informações do produto só fala cabo USB , fone , carregador , capinha , mas não fala do bastão . Caso não venha incluso cancelarei a compra ! Obr"
E nas informações do produto só fala cabo USB, fone, carregador, capinha, mas não fala do bastão.	21	2	0	"Irei comprar , mas quero só ver se não virá com bastão de selfie . Porque só estou comprando porque tem na descrição "" + bastão de selfie "" . E nas informações do produto só fala cabo USB , fone , carregador , capinha , mas não fala do bastão . Caso não venha incluso cancelarei a compra ! Obr"
Caso não venha incluso cancelarei a compra!	21	3	0	"Irei comprar , mas quero só ver se não virá com bastão de selfie . Porque só estou comprando porque tem na descrição "" + bastão de selfie "" . E nas informações do produto só fala cabo USB , fone , carregador , capinha , mas não fala do bastão . Caso não venha incluso cancelarei a compra ! Obr"
Obr	21	4	0	"Irei comprar , mas quero só ver se não virá com bastão de selfie . Porque só estou comprando porque tem na descrição "" + bastão de selfie "" . E nas informações do produto só fala cabo USB , fone , carregador , capinha , mas não fala do bastão . Caso não venha incluso cancelarei a compra ! Obr"
20	21	-1	1	"Irei comprar , mas quero só ver se não virá com bastão de selfie . Porque só estou comprando porque tem na descrição "" + bastão de selfie "" . E nas informações do produto só fala cabo USB , fone , carregador , capinha , mas não fala do bastão . Caso não venha incluso cancelarei a compra ! Obr"
Péssimo,comprei o produto é a loja não tem estoque.	22	0	0	Péssimo , comprei o produto é a loja não tem estoque . Nunca mais compro com as americanas !
Nunca mais compro com as americanas!	22	1	0	Péssimo , comprei o produto é a loja não tem estoque . Nunca mais compro com as americanas !
21	22	-1	1	Péssimo , comprei o produto é a loja não tem estoque . Nunca mais compro com as americanas !
Muito bom , alem de quando comprei o prazo de entrega era de 7 a 8 dia úteis apos a compra esta prazo foi alterado , mais entregaram .	23	0	0	Muito bom , alem de quando comprei o prazo de entrega era de 7 a 8 dia úteis apos a compra esta prazo foi alterado , mais entregaram . Obrigado
Obrigado	23	1	0	Muito bom , alem de quando comprei o prazo de entrega era de 7 a 8 dia úteis apos a compra esta prazo foi alterado , mais entregaram . Obrigado
22	23	-1	1	Muito bom , alem de quando comprei o prazo de entrega era de 7 a 8 dia úteis apos a compra esta prazo foi alterado , mais entregaram . Obrigado
A primeira vez que fui usar, começou a vazar água, mesmo assim tentei novamente mais não teve como.	24	0	0	A primeira vez que fui usar , começou a vazar água , mesmo assim tentei novamente mais não teve como . Em toda usa estação estava vazando . Chateada , expectativa frustada
Em toda usa estação estava vazando.	24	1	0	A primeira vez que fui usar , começou a vazar água , mesmo assim tentei novamente mais não teve como . Em toda usa estação estava vazando . Chateada , expectativa frustada
Chateada, expectativa frustada	24	2	0	A primeira vez que fui usar , começou a vazar água , mesmo assim tentei novamente mais não teve como . Em toda usa estação estava vazando . Chateada , expectativa frustada
23	24	-1	1	A primeira vez que fui usar , começou a vazar água , mesmo assim tentei novamente mais não teve como . Em toda usa estação estava vazando . Chateada , expectativa frustada
pessimo produto, as peças nao fixam no encaixe sempre q minha filha vai brincar as peças soltam e temos que montar novamente, nao para montado	25	0	0	pessimo produto , as peças nao fixam no encaixe sempre q minha filha vai brincar as peças soltam e temos que montar novamente , nao para montado
24	25	-1	1	pessimo produto , as peças nao fixam no encaixe sempre q minha filha vai brincar as peças soltam e temos que montar novamente , nao para montado
Produto bom, com acabamento nota 10, acessórios úteis para o dia dia.	26	0	0	Produto bom , com acabamento nota 10 , acessórios úteis para o dia dia . Recomendado para retirar pelos do corpo , retocar e diminuir a barba , sobrancelhas e nariz . Não recomendado para raspar a barba , não se compara a uma gilete .
Recomendado para retirar pelos do corpo, retocar e diminuir a barba, sobrancelhas e nariz.	26	1	0	Produto bom , com acabamento nota 10 , acessórios úteis para o dia dia . Recomendado para retirar pelos do corpo , retocar e diminuir a barba , sobrancelhas e nariz . Não recomendado para raspar a barba , não se compara a uma gilete .
Não recomendado para raspar a barba, não se compara a uma gilete.	26	2	0	Produto bom , com acabamento nota 10 , acessórios úteis para o dia dia . Recomendado para retirar pelos do corpo , retocar e diminuir a barba , sobrancelhas e nariz . Não recomendado para raspar a barba , não se compara a uma gilete .
25	26	-1	1	Produto bom , com acabamento nota 10 , acessórios úteis para o dia dia . Recomendado para retirar pelos do corpo , retocar e diminuir a barba , sobrancelhas e nariz . Não recomendado para raspar a barba , não se compara a uma gilete .
Resolveu meu problema com as portas USB, agora posso conectar vários dispositivos em um só lugar.	27	0	0	Resolveu meu problema com as portas USB , agora posso conectar vários dispositivos em um só lugar .
26	27	-1	1	Resolveu meu problema com as portas USB , agora posso conectar vários dispositivos em um só lugar .
De onde a samsung derivou esse preço de produto?	28	0	0	De onde a samsung derivou esse preço de produto ? Tudo bem que o mercado de tablets entrou em colapso há muito tempo , mas existem bons concorrentes no mercado oferecendo um preço justo . Trata-se de especificações de hardware muito modestas , de dispositivos básicos , mas está sendo vendido pelo preço de um intermediário premium como um celular Moto X4 , de última geração . Só porque a tela é maior que a de um celular ? Isso não justifica o preço .
Tudo bem que o mercado de tablets entrou em colapso há muito tempo, mas existem bons concorrentes no mercado oferecendo um preço justo.	28	1	0	De onde a samsung derivou esse preço de produto ? Tudo bem que o mercado de tablets entrou em colapso há muito tempo , mas existem bons concorrentes no mercado oferecendo um preço justo . Trata-se de especificações de hardware muito modestas , de dispositivos básicos , mas está sendo vendido pelo preço de um intermediário premium como um celular Moto X4 , de última geração . Só porque a tela é maior que a de um celular ? Isso não justifica o preço .
Trata-se de especificações de hardware muito modestas, de dispositivos básicos, mas está sendo vendido pelo preço de um intermediário premium como um celular Moto X4, de última geração.	28	2	0	De onde a samsung derivou esse preço de produto ? Tudo bem que o mercado de tablets entrou em colapso há muito tempo , mas existem bons concorrentes no mercado oferecendo um preço justo . Trata-se de especificações de hardware muito modestas , de dispositivos básicos , mas está sendo vendido pelo preço de um intermediário premium como um celular Moto X4 , de última geração . Só porque a tela é maior que a de um celular ? Isso não justifica o preço .
